"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","46.00","31.74",".00"
"2014-03-04","48.80","43.16",".00"
"2014-03-05","48.50","43.16",".00"
"2014-03-06","48.30","43.16",".00"
"2014-03-07","47.20","43.16",".00"
"2014-03-10","48.60","43.16",".00"
"2014-03-11","48.50","43.16",".00"
"2014-03-12","49.00","43.16",".00"
"2014-03-13","49.10","43.16",".00"
"2014-03-14","48.00","43.16",".00"
"2014-03-17","49.20","43.16",".00"
"2014-03-18","51.00","43.16",".00"
"2014-03-19","50.50","43.16",".00"
"2014-03-20","50.50","43.16",".00"
"2014-03-21","48.50","43.16",".00"
"2014-03-24","46.40","43.16",".00"
"2014-03-25","47.90","43.16",".00"
"2014-03-26","49.00","43.16",".00"
"2014-03-27","49.40","43.16",".00"
"2014-03-28","50.25","43.16",".00"
"2014-03-31","50.50","43.16",".00"
"2014-04-01","50.50","43.16",".00"
"2014-04-02","52.25","40.45",".00"
"2014-04-03","50.25","40.45",".00"
"2014-04-04","48.00","40.45",".00"
"2014-04-07","47.60","40.45",".00"
"2014-04-08","47.50","40.45",".00"
"2014-04-09","48.10","40.45",".00"
"2014-04-10","47.20","40.45",".00"
"2014-04-11","45.50","40.45",".00"
"2014-04-14","45.90","40.45",".00"
"2014-04-15","43.50","40.45",".00"
"2014-04-16","44.00","40.45",".00"
"2014-04-17","44.50","40.45",".00"
"2014-04-18","44.50","40.45",".00"
"2014-04-21","44.50","40.45",".00"
"2014-04-22","45.00","40.45",".00"
"2014-04-23","45.00","40.45",".00"
"2014-04-24","45.20","40.45",".00"
"2014-04-25","43.80","40.45",".00"
"2014-04-28","42.40","40.45",".00"
"2014-04-29","42.20","40.45",".00"
"2014-04-30","42.50","40.45",".00"
"2014-05-01","42.50","40.45",".00"
"2014-05-02","43.40","40.45",".00"
"2014-05-05","41.30","38.11",".00"
"2014-05-06","42.00","38.11",".00"
"2014-05-07","41.00","38.11",".00"
"2014-05-08","43.30","38.11",".00"
"2014-05-09","43.00","38.11",".00"
"2014-05-12","42.40","38.11",".00"
"2014-05-13","42.70","38.11",".00"
"2014-05-14","42.50","38.11",".00"
"2014-05-15","42.90","38.11",".00"
"2014-05-16","43.10","38.11",".00"
"2014-05-19","43.90","38.11",".00"
"2014-05-20","44.70","38.11",".00"
"2014-05-21","46.00","38.11",".00"
"2014-05-22","46.80","38.11",".00"
"2014-05-23","47.10","38.11",".00"
"2014-05-26","48.40","38.11",".00"
"2014-05-27","48.30","38.11",".00"
"2014-05-28","49.70","38.11",".00"
"2014-05-29","49.70","38.11",".00"
"2014-05-30","51.75","38.11",".00"
"2014-06-02","52.25","38.11",".00"
"2014-06-03","52.00","38.65",".00"
"2014-06-04","51.25","38.65",".00"
"2014-06-05","51.50","38.65",".00"
"2014-06-06","51.50","38.65",".00"
"2014-06-09","52.00","38.65",".00"
