"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","219.70","280.79",".00"
"2014-03-04","225.60","280.79",".00"
"2014-03-05","225.10","280.79",".00"
"2014-03-06","225.80","280.79",".00"
"2014-03-07","224.90","280.79",".00"
"2014-03-10","225.40","280.79",".00"
"2014-03-11","225.20","280.79",".00"
"2014-03-12","222.40","280.79",".00"
"2014-03-13","220.90","280.79",".00"
"2014-03-14","218.80","280.79",".00"
"2014-03-17","223.10","280.79",".00"
"2014-03-18","224.00","280.79",".00"
"2014-03-19","224.90","280.79",".00"
"2014-03-20","224.50","280.79",".00"
"2014-03-21","226.90","280.79",".00"
"2014-03-24","224.70","280.79",".00"
"2014-03-25","226.20","280.79",".00"
"2014-03-26","227.90","280.79",".00"
"2014-03-27","229.10","280.79",".00"
"2014-03-28","229.90","280.79",".00"
"2014-03-31","234.20","280.79",".00"
"2014-04-01","239.60","280.79",".00"
"2014-04-02","237.00","280.79",".00"
"2014-04-03","236.10","280.79",".00"
"2014-04-04","236.60","280.79",".00"
"2014-04-07","234.60","280.79",".00"
"2014-04-08","234.70","280.79",".00"
"2014-04-09","237.80","280.79",".00"
"2014-04-10","237.30","280.79",".00"
"2014-04-11","235.90","280.79",".00"
"2014-04-14","234.60","280.79",".00"
"2014-04-15","231.40","280.79",".00"
"2014-04-16","234.00","280.79",".00"
"2014-04-17","235.20","280.79",".00"
"2014-04-18","235.20","280.79",".00"
"2014-04-21","235.20","280.79",".00"
"2014-04-22","242.20","280.79",".00"
"2014-04-23","240.50","296.65",".00"
"2014-04-24","242.70","296.65",".00"
"2014-04-25","243.10","296.65",".00"
"2014-04-28","247.50","296.65",".00"
"2014-04-29","249.20","296.65",".00"
"2014-04-30","251.50","296.65",".00"
"2014-05-01","251.50","296.65",".00"
"2014-05-02","251.20","296.65",".00"
"2014-05-05","253.10","296.65",".00"
"2014-05-06","253.50","296.65",".00"
"2014-05-07","242.50","296.65",".00"
"2014-05-08","249.10","296.65",".00"
"2014-05-09","248.60","296.65",".00"
"2014-05-12","249.70","296.65",".00"
"2014-05-13","253.60","296.65",".00"
"2014-05-14","253.20","296.65",".00"
"2014-05-15","253.00","296.65",".00"
"2014-05-16","253.30","296.65",".00"
"2014-05-19","253.60","296.65",".00"
"2014-05-20","254.00","296.65",".00"
"2014-05-21","256.40","296.65",".00"
"2014-05-22","256.40","296.65",".00"
"2014-05-23","258.20","296.65",".00"
"2014-05-26","258.80","296.65",".00"
"2014-05-27","258.40","296.65",".00"
"2014-05-28","259.80","296.65",".00"
"2014-05-29","259.80","296.65",".00"
"2014-05-30","262.60","296.65",".00"
"2014-06-02","260.00","296.65",".00"
"2014-06-03","259.60","296.65",".00"
"2014-06-04","260.00","296.65",".00"
"2014-06-05","259.00","296.65",".00"
"2014-06-06","259.00","296.65",".00"
"2014-06-09","262.80","296.65",".00"
"2014-06-10","261.90","296.65",".00"
"2014-06-11","260.60","296.65",".00"
"2014-06-12","259.80","296.65",".00"
"2014-06-13","258.40","296.65",".00"
"2014-06-16","254.60","296.65",".00"
"2014-06-17","255.20","296.65",".00"
"2014-06-18","251.90","296.65",".00"
"2014-06-19","252.70","296.65",".00"
"2014-06-20","252.70","296.65",".00"
"2014-06-23","254.10","296.65",".00"
"2014-06-24","254.00","296.65",".00"
"2014-06-25","250.90","296.65",".00"
"2014-06-26","250.60","296.65",".00"
"2014-06-27","252.70","296.65",".00"
"2014-06-30","250.70","296.65",".00"
"2014-07-01","252.90","296.65",".00"
"2014-07-02","253.20","296.65",".00"
"2014-07-03","260.40","296.65",".00"
"2014-07-04","257.90","296.65",".00"
"2014-07-07","255.30","296.65",".00"
"2014-07-08","252.60","296.65",".00"
"2014-07-09","251.40","296.65",".00"
"2014-07-10","247.00","296.65",".00"
"2014-07-11","246.90","296.65",".00"
"2014-07-14","250.70","296.65",".00"
"2014-07-15","249.80","296.65",".00"
"2014-07-16","252.10","296.65",".00"
"2014-07-17","250.50","303.06",".00"
"2014-07-18","251.50","303.06",".00"
"2014-07-21","250.60","303.06",".00"
"2014-07-22","252.00","303.06",".00"
"2014-07-23","251.90","303.06",".00"
"2014-07-24","252.40","303.06",".00"
"2014-07-25","253.40","303.06",".00"
"2014-07-28","253.50","303.06",".00"
"2014-07-29","253.40","303.06",".00"
"2014-07-30","252.70","303.06",".00"
"2014-07-31","249.00","303.06",".00"
"2014-08-01","245.10","303.06",".00"
"2014-08-04","244.80","303.06",".00"
"2014-08-05","245.80","303.06",".00"
"2014-08-06","240.00","303.06",".00"
"2014-08-07","236.90","303.06",".00"
"2014-08-08","236.40","303.06",".00"
"2014-08-11","239.70","303.06",".00"
"2014-08-12","238.90","303.06",".00"
"2014-08-13","243.30","303.06",".00"
"2014-08-14","241.60","303.06",".00"
"2014-08-15","241.20","303.06",".00"
"2014-08-18","244.80","303.06",".00"
"2014-08-19","245.50","303.06",".00"
"2014-08-20","246.60","303.06",".00"
"2014-08-21","251.00","303.06",".00"
"2014-08-22","251.50","303.06",".00"
"2014-08-25","255.20","303.06",".00"
"2014-08-26","257.70","303.06",".00"
"2014-08-27","259.30","303.06",".00"
"2014-08-28","256.40","303.06",".00"
"2014-08-29","259.00","303.06",".00"
"2014-09-01","258.40","303.06",".00"
"2014-09-02","258.30","303.06",".00"
"2014-09-03","260.00","303.06",".00"
"2014-09-04","258.80","303.06",".00"
"2014-09-05","254.70","303.06",".00"
"2014-09-08","254.50","303.06",".00"
"2014-09-09","252.00","303.06",".00"
"2014-09-10","252.00","303.06",".00"
"2014-09-11","251.80","303.06",".00"
"2014-09-12","252.00","303.06",".00"
"2014-09-15","250.80","303.06",".00"
"2014-09-16","250.00","303.06",".00"
"2014-09-17","251.20","303.06",".00"
"2014-09-18","254.60","303.06",".00"
"2014-09-19","255.40","303.06",".00"
"2014-09-22","257.00","303.06",".00"
"2014-09-23","255.80","303.06",".00"
"2014-09-24","256.80","303.06",".00"
"2014-09-25","254.50","303.06",".00"
"2014-09-26","256.40","303.06",".00"
"2014-09-29","254.80","303.06",".00"
"2014-09-30","255.20","303.06",".00"
"2014-10-01","252.70","303.06",".00"
"2014-10-02","245.30","303.06",".00"
"2014-10-03","248.50","303.06",".00"
"2014-10-06","247.00","303.06",".00"
"2014-10-07","241.30","303.06",".00"
"2014-10-08","240.70","303.06",".00"
"2014-10-09","238.80","303.06",".00"
"2014-10-10","233.80","303.06",".00"
"2014-10-13","231.10","303.06",".00"
"2014-10-14","232.60","303.06",".00"
"2014-10-15","224.70","303.06",".00"
"2014-10-16","223.40","303.06",".00"
"2014-10-17","231.60","303.06",".00"
"2014-10-20","229.80","303.06",".00"
"2014-10-21","233.60","303.06",".00"
"2014-10-22","238.40","321.70",".00"
"2014-10-23","246.50","321.70",".00"
"2014-10-24","245.30","321.70",".00"
"2014-10-27","247.60","321.70",".00"
"2014-10-28","252.30","321.70",".00"
"2014-10-29","255.30","321.70",".00"
"2014-10-30","258.40","321.70",".00"
"2014-10-31","264.20","321.70",".00"
"2014-11-03","261.80","321.70",".00"
"2014-11-04","261.80","321.70",".00"
"2014-11-05","265.50","321.70",".00"
"2014-11-06","265.80","321.70",".00"
"2014-11-07","265.00","321.70",".00"
"2014-11-10","267.40","321.70",".00"
"2014-11-11","268.60","321.70",".00"
"2014-11-12","264.90","321.70",".00"
"2014-11-13","268.00","321.70",".00"
"2014-11-14","267.20","321.70",".00"
"2014-11-17","267.00","321.70",".00"
"2014-11-18","271.60","321.70",".00"
"2014-11-19","271.40","321.70",".00"
"2014-11-20","269.80","321.70",".00"
"2014-11-21","273.80","321.70",".00"
"2014-11-24","277.50","321.70",".00"
"2014-11-25","280.00","321.70",".00"
"2014-11-26","278.10","321.70",".00"
"2014-11-27","280.80","321.70",".00"
"2014-11-28","280.10","321.70",".00"
"2014-12-01","278.30","321.70",".00"
"2014-12-02","277.80","321.70",".00"
"2014-12-03","281.60","321.70",".00"
"2014-12-04","276.50","321.70",".00"
"2014-12-05","284.10","321.70",".00"
"2014-12-08","283.00","321.70",".00"
"2014-12-09","278.40","321.70",".00"
"2014-12-10","277.30","321.70",".00"
"2014-12-11","278.10","321.70",".00"
"2014-12-12","270.60","321.70",".00"
"2014-12-15","268.60","321.70",".00"
"2014-12-16","270.90","321.70",".00"
"2014-12-17","270.20","321.70",".00"
"2014-12-18","280.00","321.70",".00"
"2014-12-19","281.00","321.70",".00"
"2014-12-22","283.30","321.70",".00"
"2014-12-23","285.00","321.70",".00"
"2014-12-24","285.00","321.70",".00"
"2014-12-25","285.00","321.70",".00"
"2014-12-26","285.00","321.70",".00"
"2014-12-29","288.60","321.70",".00"
"2014-12-30","284.70","321.70",".00"
"2014-12-31","284.70","321.70",".00"
"2015-01-01","284.70","321.70",".00"
"2015-01-02","285.30","321.70",".00"
"2015-01-05","283.00","321.70",".00"
"2015-01-06","283.00","321.70",".00"
"2015-01-07","273.60","321.70",".00"
