"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","162.50","150.00",".00"
"2014-03-04","169.00","150.00",".00"
"2014-03-05","167.00","162.00",".00"
"2014-03-06","171.50","162.00",".00"
"2014-03-07","171.00","162.00",".00"
"2014-03-10","172.50","162.00",".00"
"2014-03-11","173.50","162.00",".00"
"2014-03-12","174.00","162.00",".00"
"2014-03-13","173.50","162.00",".00"
"2014-03-14","169.00","162.00",".00"
"2014-03-17","171.00","162.00",".00"
"2014-03-18","175.50","162.00",".00"
"2014-03-19","179.00","162.00",".00"
"2014-03-20","177.50","162.00",".00"
"2014-03-21","177.50","162.00",".00"
"2014-03-24","178.00","162.00",".00"
"2014-03-25","179.50","162.00",".00"
"2014-03-26","181.50","162.00",".00"
"2014-03-27","187.50","162.00",".00"
"2014-03-28","194.00","162.00",".00"
"2014-03-31","197.50","162.00",".00"
"2014-04-01","200.50","162.00",".00"
"2014-04-02","197.50","162.00",".00"
"2014-04-03","192.50","162.00",".00"
"2014-04-04","190.00","162.00",".00"
"2014-04-07","188.50","162.00",".00"
"2014-04-08","193.50","162.00",".00"
"2014-04-09","197.00","162.00",".00"
"2014-04-10","190.00","162.00",".00"
"2014-04-11","188.50","164.00",".00"
"2014-04-14","166.00","164.00",".00"
"2014-04-15","162.00","164.00",".00"
"2014-04-16","163.00","164.00",".00"
"2014-04-17","161.50","164.00",".00"
"2014-04-18","161.50","164.00",".00"
"2014-04-21","161.50","164.00",".00"
"2014-04-22","162.00","164.00",".00"
"2014-04-23","167.00","164.00",".00"
"2014-04-24","165.00","164.00",".00"
"2014-04-25","164.00","164.00",".00"
"2014-04-28","161.00","164.00",".00"
"2014-04-29","162.50","164.00",".00"
"2014-04-30","161.00","164.00",".00"
"2014-05-01","161.00","164.00",".00"
"2014-05-02","160.00","164.00",".00"
"2014-05-05","160.00","164.00",".00"
"2014-05-06","159.50","152.00",".00"
"2014-05-07","157.00","152.00",".00"
"2014-05-08","158.50","152.00",".00"
"2014-05-09","157.00","152.00",".00"
"2014-05-12","155.00","152.00",".00"
"2014-05-13","153.00","152.00",".00"
"2014-05-14","151.50","152.00",".00"
"2014-05-15","151.50","152.00",".00"
"2014-05-16","147.50","152.00",".00"
"2014-05-19","149.75","152.00",".00"
"2014-05-20","148.50","152.00",".00"
"2014-05-21","146.75","152.00",".00"
"2014-05-22","147.00","152.00",".00"
"2014-05-23","148.75","152.00",".00"
"2014-05-26","147.25","152.00",".00"
"2014-05-27","148.00","152.00",".00"
"2014-05-28","153.50","152.00",".00"
"2014-05-29","153.50","152.00",".00"
"2014-05-30","154.00","152.00",".00"
"2014-06-02","157.50","152.00",".00"
"2014-06-03","159.00","152.00",".00"
"2014-06-04","159.50","153.00",".00"
"2014-06-05","157.50","153.00",".00"
"2014-06-06","157.50","153.00",".00"
"2014-06-09","161.00","153.00",".00"
"2014-06-10","161.00","153.00",".00"
"2014-06-11","159.50","153.00",".00"
"2014-06-12","157.50","153.00",".00"
"2014-06-13","152.00","153.00",".00"
"2014-06-16","150.50","153.00",".00"
"2014-06-17","151.00","153.00",".00"
"2014-06-18","152.50","153.00",".00"
"2014-06-19","150.50","153.00",".00"
"2014-06-20","150.50","153.00",".00"
"2014-06-23","151.00","153.00",".00"
"2014-06-24","150.00","153.00",".00"
"2014-06-25","149.75","153.00",".00"
"2014-06-26","149.00","153.00",".00"
"2014-06-27","150.00","153.00",".00"
"2014-06-30","149.50","153.00",".00"
"2014-07-01","150.00","153.00",".00"
"2014-07-02","151.50","153.00",".00"
"2014-07-03","152.50","153.00",".00"
"2014-07-04","154.00","153.00",".00"
"2014-07-07","157.50","153.00",".00"
"2014-07-08","156.50","153.00",".00"
"2014-07-09","155.50","153.00",".00"
"2014-07-10","154.00","153.00",".00"
"2014-07-11","153.00","153.00",".00"
"2014-07-14","154.00","153.00",".00"
"2014-07-15","153.50","153.00",".00"
"2014-07-16","156.00","153.00",".00"
"2014-07-17","155.50","153.00",".00"
"2014-07-18","155.00","153.00",".00"
"2014-07-21","155.00","153.00",".00"
"2014-07-22","152.50","153.00",".00"
"2014-07-23","156.00","153.00",".00"
"2014-07-24","155.00","153.00",".00"
"2014-07-25","155.50","153.00",".00"
"2014-07-28","157.00","153.00",".00"
"2014-07-29","157.00","153.00",".00"
"2014-07-30","158.00","153.00",".00"
"2014-07-31","155.50","153.00",".00"
"2014-08-01","157.50","153.00",".00"
"2014-08-04","157.00","153.00",".00"
"2014-08-05","159.00","153.00",".00"
"2014-08-06","158.50","153.00",".00"
"2014-08-07","157.00","153.00",".00"
"2014-08-08","153.00","153.00",".00"
"2014-08-11","155.50","153.00",".00"
"2014-08-12","158.00","153.00",".00"
"2014-08-13","159.00","153.00",".00"
"2014-08-14","159.50","153.00",".00"
"2014-08-15","158.00","150.00",".00"
"2014-08-18","159.00","150.00",".00"
"2014-08-19","160.00","150.00",".00"
"2014-08-20","160.00","150.00",".00"
"2014-08-21","158.50","150.00",".00"
"2014-08-22","157.50","150.00",".00"
"2014-08-25","158.00","150.00",".00"
"2014-08-26","156.50","150.00",".00"
"2014-08-27","156.00","150.00",".00"
"2014-08-28","156.00","150.00",".00"
"2014-08-29","156.00","150.00",".00"
"2014-09-01","155.00","150.00",".00"
"2014-09-02","154.00","150.00",".00"
"2014-09-03","153.50","149.00",".00"
"2014-09-04","154.00","149.00",".00"
"2014-09-05","154.50","149.00",".00"
"2014-09-08","154.50","149.00",".00"
"2014-09-09","153.50","149.00",".00"
"2014-09-10","154.00","149.00",".00"
"2014-09-11","155.00","149.00",".00"
"2014-09-12","155.00","149.00",".00"
"2014-09-15","153.50","149.00",".00"
"2014-09-16","153.50","149.00",".00"
"2014-09-17","154.50","149.00",".00"
"2014-09-18","155.50","149.00",".00"
"2014-09-19","156.00","149.00",".00"
"2014-09-22","155.50","149.00",".00"
"2014-09-23","156.50","149.00",".00"
"2014-09-24","156.50","149.00",".00"
"2014-09-25","157.50","149.00",".00"
"2014-09-26","157.00","149.00",".00"
"2014-09-29","158.50","149.00",".00"
"2014-09-30","156.50","149.00",".00"
"2014-10-01","156.00","149.00",".00"
"2014-10-02","156.50","149.00",".00"
"2014-10-03","157.00","149.00",".00"
"2014-10-06","156.00","149.00",".00"
"2014-10-07","154.50","149.00",".00"
"2014-10-08","154.00","149.00",".00"
"2014-10-09","154.50","150.00",".00"
"2014-10-10","150.50","150.00",".00"
"2014-10-13","146.75","150.00",".00"
"2014-10-14","147.25","150.00",".00"
"2014-10-15","143.50","150.00",".00"
"2014-10-16","143.50","150.00",".00"
"2014-10-17","147.00","150.00",".00"
"2014-10-20","148.50","150.00",".00"
"2014-10-21","150.50","150.00",".00"
"2014-10-22","150.50","150.00",".00"
"2014-10-23","154.50","150.00",".00"
"2014-10-24","150.50","150.00",".00"
"2014-10-27","151.50","150.00",".00"
"2014-10-28","153.00","150.00",".00"
"2014-10-29","156.00","150.00",".00"
"2014-10-30","155.50","150.00",".00"
"2014-10-31","157.00","150.00",".00"
"2014-11-03","156.00","153.00",".00"
"2014-11-04","156.00","153.00",".00"
"2014-11-05","154.50","153.00",".00"
"2014-11-06","154.50","153.00",".00"
"2014-11-07","152.00","153.00",".00"
"2014-11-10","151.50","153.00",".00"
"2014-11-11","153.50","153.00",".00"
"2014-11-12","152.50","153.00",".00"
"2014-11-13","150.00","153.00",".00"
"2014-11-14","152.50","153.00",".00"
"2014-11-17","152.00","153.00",".00"
"2014-11-18","153.00","153.00",".00"
"2014-11-19","152.50","153.00",".00"
"2014-11-20","152.50","153.00",".00"
"2014-11-21","155.00","153.00",".00"
"2014-11-24","153.00","153.00",".00"
"2014-11-25","154.00","153.00",".00"
"2014-11-26","155.00","153.00",".00"
"2014-11-27","156.00","153.00",".00"
"2014-11-28","155.50","153.00",".00"
"2014-12-01","155.00","153.00",".00"
"2014-12-02","157.00","153.00",".00"
"2014-12-03","155.50","159.00",".00"
"2014-12-04","157.00","159.00",".00"
"2014-12-05","159.00","159.00",".00"
"2014-12-08","158.00","159.00",".00"
"2014-12-09","158.00","159.00",".00"
"2014-12-10","158.00","159.00",".00"
"2014-12-11","163.00","159.00",".00"
"2014-12-12","166.00","159.00",".00"
"2014-12-15","166.00","159.00",".00"
"2014-12-16","166.00","159.00",".00"
"2014-12-17","166.00","159.00",".00"
"2014-12-18","167.50","159.00",".00"
"2014-12-19","167.50","159.00",".00"
"2014-12-22","166.50","159.00",".00"
"2014-12-23","167.00","159.00",".00"
"2014-12-24","167.00","159.00",".00"
"2014-12-25","167.00","159.00",".00"
"2014-12-26","167.00","159.00",".00"
"2014-12-29","168.50","159.00",".00"
"2014-12-30","166.00","159.00",".00"
"2014-12-31","166.00","159.00",".00"
"2015-01-01","166.00","159.00",".00"
"2015-01-02","167.00","159.00",".00"
"2015-01-05","164.00","159.00",".00"
"2015-01-06","164.00","159.00",".00"
"2015-01-07","163.00","159.00",".00"
"2015-01-08","165.50","159.00",".00"
"2015-01-09","165.00","159.00",".00"
"2015-01-12","165.00","159.00",".00"
"2015-01-13","165.00","159.00",".00"
"2015-01-14","162.50","159.00",".00"
"2015-01-15","164.00","159.00",".00"
"2015-01-16","165.00","159.00",".00"
"2015-01-19","165.00","159.00",".00"
"2015-01-20","165.50","159.00",".00"
"2015-01-21","165.00","159.00",".00"
"2015-01-22","165.50","159.00",".00"
"2015-01-23","167.50","159.00",".00"
"2015-01-26","166.00","159.00",".00"
"2015-01-27","165.50","159.00",".00"
"2015-01-28","165.50","159.00",".00"
"2015-01-29","164.00","159.00",".00"
"2015-01-30","165.50","159.00",".00"
"2015-02-02","165.00","159.00",".00"
"2015-02-03","166.00","159.00",".00"
"2015-02-04","163.00","168.00",".00"
"2015-02-05","165.50","168.00",".00"
"2015-02-06","166.00","168.00",".00"
"2015-02-09","167.50","168.00",".00"
"2015-02-10","171.00","168.00",".00"
"2015-02-11","171.50","168.00",".00"
"2015-02-12","171.50","168.00",".00"
"2015-02-13","174.00","168.00",".00"
"2015-02-16","175.00","168.00",".00"
"2015-02-17","176.00","168.00",".00"
"2015-02-18","182.50","168.00",".00"
"2015-02-19","186.00","168.00",".00"
"2015-02-20","182.00","168.00",".00"
"2015-02-23","175.50","168.00",".00"
"2015-02-24","176.00","168.00",".00"
"2015-02-25","178.50","168.00",".00"
"2015-02-26","179.00","168.00",".00"
"2015-02-27","177.50","168.00",".00"
"2015-03-02","175.00","168.00",".00"
"2015-03-03","173.50","168.00",".00"
"2015-03-04","171.00","180.00",".00"
"2015-03-05","170.00","180.00",".00"
"2015-03-06","172.50","180.00",".00"
"2015-03-09","170.50","180.00",".00"
"2015-03-10","171.00","180.00",".00"
"2015-03-11","174.00","180.00",".00"
"2015-03-12","177.00","180.00",".00"
"2015-03-13","174.50","180.00",".00"
"2015-03-16","174.50","180.00",".00"
"2015-03-17","174.50","180.00",".00"
"2015-03-18","175.50","180.00",".00"
"2015-03-19","178.00","180.00",".00"
"2015-03-20","179.00","180.00",".00"
"2015-03-23","177.50","180.00",".00"
"2015-03-24","179.50","180.00",".00"
"2015-03-25","181.00","180.00",".00"
"2015-03-26","178.00","180.00",".00"
"2015-03-27","179.50","180.00",".00"
"2015-03-30","176.50","180.00",".00"
"2015-03-31","173.50","180.00",".00"
"2015-04-01","170.00","180.00",".00"
"2015-04-02","170.50","180.00",".00"
"2015-04-03","170.50","180.00",".00"
"2015-04-06","170.50","180.00",".00"
"2015-04-07","172.50","180.00",".00"
"2015-04-08","175.00","180.00",".00"
"2015-04-09","176.50","180.00",".00"
"2015-04-10","177.00","180.00",".00"
"2015-04-13","177.50","180.00",".00"
"2015-04-14","177.00","179.00",".00"
"2015-04-15","178.00","179.00",".00"
"2015-04-16","178.00","179.00",".00"
"2015-04-17","175.50","179.00",".00"
"2015-04-20","179.50","179.00",".00"
"2015-04-21","180.00","179.00",".00"
"2015-04-22","176.00","179.00",".00"
"2015-04-23","176.00","179.00",".00"
"2015-04-24","173.50","179.00",".00"
"2015-04-27","174.00","179.00",".00"
"2015-04-28","173.50","179.00",".00"
"2015-04-29","173.50","179.00",".00"
"2015-04-30","175.00","179.00",".00"
"2015-05-01","175.00","179.00",".00"
"2015-05-04","174.50","179.00",".00"
"2015-05-05","174.50","179.00",".00"
"2015-05-06","173.50","183.00",".00"
"2015-05-07","169.50","183.00",".00"
"2015-05-08","172.00","183.00",".00"
"2015-05-11","173.50","183.00",".00"
"2015-05-12","172.50","183.00",".00"
"2015-05-13","171.50","183.00",".00"
"2015-05-14","171.50","183.00",".00"
"2015-05-15","175.00","183.00",".00"
"2015-05-18","175.00","183.00",".00"
"2015-05-19","175.00","183.00",".00"
"2015-05-20","177.00","183.00",".00"
"2015-05-21","177.50","183.00",".00"
"2015-05-22","176.50","183.00",".00"
"2015-05-25","174.00","183.00",".00"
"2015-05-26","174.50","183.00",".00"
"2015-05-27","175.00","183.00",".00"
"2015-05-28","177.00","183.00",".00"
"2015-05-29","178.00","183.00",".00"
"2015-06-01","179.00","183.00",".00"
"2015-06-02","176.50","183.00",".00"
"2015-06-03","177.00","185.00",".00"
"2015-06-04","178.00","185.00",".00"
"2015-06-05","174.50","185.00",".00"
"2015-06-08","172.00","185.00",".00"
"2015-06-09","167.50","185.00",".00"
"2015-06-10","169.00","185.00",".00"
"2015-06-11","169.00","185.00",".00"
"2015-06-12","169.00","185.00",".00"
"2015-06-15","164.00","185.00",".00"
"2015-06-16","164.50","185.00",".00"
"2015-06-17","165.50","185.00",".00"
"2015-06-18","164.00","185.00",".00"
"2015-06-19","164.00","185.00",".00"
"2015-06-22","167.50","185.00",".00"
"2015-06-23","167.50","185.00",".00"
"2015-06-24","166.00","185.00",".00"
"2015-06-25","164.50","185.00",".00"
"2015-06-26","164.50","185.00",".00"
"2015-06-29","162.00","185.00",".00"
"2015-06-30","159.00","185.00",".00"
"2015-07-01","162.00","185.00",".00"
"2015-07-02","162.50","185.00",".00"
"2015-07-03","160.00","185.00",".00"
