"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","41.00","43.92",".00"
"2014-03-04","42.00","43.92",".00"
"2014-03-05","42.10","43.92",".00"
"2014-03-06","42.00","43.92",".00"
"2014-03-07","42.00","43.92",".00"
"2014-03-10","42.50","43.92",".00"
"2014-03-11","42.50","43.92",".00"
"2014-03-12","42.50","43.92",".00"
"2014-03-13","42.50","43.92",".00"
"2014-03-14","41.00","43.92",".00"
"2014-03-17","41.60","43.92",".00"
"2014-03-18","42.00","43.92",".00"
"2014-03-19","42.50","43.92",".00"
"2014-03-20","42.00","43.92",".00"
"2014-03-21","42.50","43.92",".00"
"2014-03-24","42.00","43.92",".00"
"2014-03-25","42.40","43.92",".00"
"2014-03-26","43.00","43.92",".00"
"2014-03-27","43.00","43.92",".00"
"2014-03-28","42.50","43.92",".00"
"2014-03-31","42.50","43.92",".00"
"2014-04-01","41.90","43.92",".00"
"2014-04-02","41.50","43.92",".00"
"2014-04-03","40.90","43.92",".00"
"2014-04-04","40.60","43.92",".00"
"2014-04-07","40.30","43.92",".00"
"2014-04-08","41.00","43.92",".00"
"2014-04-09","41.70","43.92",".00"
"2014-04-10","41.50","43.92",".00"
"2014-04-11","41.50","43.92",".00"
"2014-04-14","40.60","43.92",".00"
"2014-04-15","41.10","43.92",".00"
"2014-04-16","41.60","43.92",".00"
"2014-04-17","41.60","43.92",".00"
"2014-04-18","41.60","43.92",".00"
"2014-04-21","41.60","43.92",".00"
"2014-04-22","40.50","43.92",".00"
"2014-04-23","40.50","43.92",".00"
"2014-04-24","41.20","43.92",".00"
"2014-04-25","42.50","43.92",".00"
"2014-04-28","41.90","43.92",".00"
"2014-04-29","42.20","43.92",".00"
"2014-04-30","42.40","43.92",".00"
"2014-05-01","42.40","43.92",".00"
"2014-05-02","42.00","43.92",".00"
"2014-05-05","42.20","43.92",".00"
"2014-05-06","41.70","43.92",".00"
"2014-05-07","42.00","43.92",".00"
"2014-05-08","45.30","46.09",".00"
"2014-05-09","43.50","46.09",".00"
"2014-05-12","43.50","46.09",".00"
"2014-05-13","42.80","46.09",".00"
"2014-05-14","43.00","46.09",".00"
"2014-05-15","43.00","46.09",".00"
"2014-05-16","43.00","46.09",".00"
"2014-05-19","43.00","46.09",".00"
"2014-05-20","43.30","46.09",".00"
"2014-05-21","43.40","46.09",".00"
"2014-05-22","43.40","46.09",".00"
"2014-05-23","43.20","46.09",".00"
"2014-05-26","44.00","46.09",".00"
"2014-05-27","45.00","46.09",".00"
"2014-05-28","46.70","46.09",".00"
"2014-05-29","46.70","46.09",".00"
"2014-05-30","47.50","46.09",".00"
"2014-06-02","49.00","46.09",".00"
"2014-06-03","49.00","46.09",".00"
"2014-06-04","48.80","46.09",".00"
"2014-06-05","48.50","46.09",".00"
"2014-06-06","48.50","46.09",".00"
"2014-06-09","47.50","46.09",".00"
"2014-06-10","46.40","46.09",".00"
"2014-06-11","46.50","46.09",".00"
"2014-06-12","46.60","46.09",".00"
"2014-06-13","46.50","46.09",".00"
"2014-06-16","46.60","46.09",".00"
"2014-06-17","46.60","46.09",".00"
"2014-06-18","47.50","46.09",".00"
"2014-06-19","47.50","46.09",".00"
"2014-06-20","47.50","46.09",".00"
"2014-06-23","46.00","46.09",".00"
"2014-06-24","45.70","46.09",".00"
"2014-06-25","45.70","46.09",".00"
"2014-06-26","46.50","46.09",".00"
"2014-06-27","46.50","46.09",".00"
"2014-06-30","47.10","46.09",".00"
"2014-07-01","47.10","46.09",".00"
"2014-07-02","47.00","46.09",".00"
"2014-07-03","47.00","46.09",".00"
"2014-07-04","47.00","46.09",".00"
"2014-07-07","47.00","46.09",".00"
"2014-07-08","45.10","46.09",".00"
"2014-07-09","45.10","46.09",".00"
"2014-07-10","45.10","46.09",".00"
"2014-07-11","45.10","46.09",".00"
"2014-07-14","44.50","46.09",".00"
"2014-07-15","44.50","46.09",".00"
"2014-07-16","44.00","46.09",".00"
"2014-07-17","43.20","46.09",".00"
"2014-07-18","43.20","46.09",".00"
"2014-07-21","43.10","46.09",".00"
"2014-07-22","43.40","46.09",".00"
"2014-07-23","44.10","46.09",".00"
"2014-07-24","43.60","46.09",".00"
"2014-07-25","44.70","46.09",".00"
"2014-07-28","44.00","44.86",".00"
"2014-07-29","43.60","44.86",".00"
"2014-07-30","43.60","44.86",".00"
"2014-07-31","44.10","44.86",".00"
"2014-08-01","44.10","44.86",".00"
"2014-08-04","41.70","44.86",".00"
"2014-08-05","43.50","44.86",".00"
"2014-08-06","43.00","44.86",".00"
"2014-08-07","43.00","44.86",".00"
"2014-08-08","42.00","44.86",".00"
"2014-08-11","43.00","44.86",".00"
"2014-08-12","44.00","44.86",".00"
"2014-08-13","44.00","44.86",".00"
"2014-08-14","44.50","44.86",".00"
"2014-08-15","44.30","44.86",".00"
"2014-08-18","43.40","44.86",".00"
"2014-08-19","44.10","44.86",".00"
"2014-08-20","43.70","44.86",".00"
"2014-08-21","43.70","44.86",".00"
"2014-08-22","44.10","44.86",".00"
"2014-08-25","43.80","44.86",".00"
"2014-08-26","43.80","44.86",".00"
"2014-08-27","44.00","44.86",".00"
"2014-08-28","43.90","44.86",".00"
"2014-08-29","43.70","44.86",".00"
"2014-09-01","43.70","44.86",".00"
"2014-09-02","43.70","44.86",".00"
"2014-09-03","42.60","44.86",".00"
"2014-09-04","43.00","44.86",".00"
"2014-09-05","43.50","44.86",".00"
