"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","87.75","97.00",".00"
"2014-03-04","88.25","97.00",".00"
"2014-03-05","89.50","97.00",".00"
"2014-03-06","90.00","97.00",".00"
"2014-03-07","89.25","97.00",".00"
"2014-03-10","88.75","96.00",".00"
"2014-03-11","87.50","96.00",".00"
"2014-03-12","86.75","96.00",".00"
"2014-03-13","87.00","96.00",".00"
"2014-03-14","87.00","96.00",".00"
"2014-03-17","88.00","96.00",".00"
"2014-03-18","88.75","96.00",".00"
"2014-03-19","88.50","96.00",".00"
"2014-03-20","87.00","96.00",".00"
"2014-03-21","87.00","96.00",".00"
"2014-03-24","87.25","97.00",".00"
"2014-03-25","86.75","97.00",".00"
"2014-03-26","87.75","97.00",".00"
"2014-03-27","88.50","97.00",".00"
"2014-03-28","89.50","97.00",".00"
"2014-03-31","90.00","99.00",".00"
"2014-04-01","91.00","99.00",".00"
"2014-04-02","91.50","99.00",".00"
"2014-04-03","91.00","99.00",".00"
"2014-04-04","94.50","99.00",".00"
"2014-04-07","93.00","102.00",".00"
"2014-04-08","91.50","102.00",".00"
"2014-04-09","92.25","102.00",".00"
"2014-04-10","92.25","102.00",".00"
"2014-04-11","90.75","102.00",".00"
"2014-04-14","89.25","101.00",".00"
"2014-04-15","90.00","101.00",".00"
"2014-04-16","89.75","101.00",".00"
"2014-04-17","90.50","101.00",".00"
"2014-04-18","90.50","101.00",".00"
"2014-04-21","90.50","101.00",".00"
"2014-04-22","91.50","101.00",".00"
"2014-04-23","92.75","101.00",".00"
"2014-04-24","93.00","101.00",".00"
"2014-04-25","92.75","101.00",".00"
"2014-04-28","93.50","104.00",".00"
"2014-04-29","92.75","104.00",".00"
"2014-04-30","92.25","104.00",".00"
"2014-05-01","92.25","104.00",".00"
"2014-05-02","93.25","104.00",".00"
"2014-05-05","93.75","103.00",".00"
"2014-05-06","93.75","103.00",".00"
"2014-05-07","94.00","103.00",".00"
"2014-05-08","95.25","103.00",".00"
"2014-05-09","96.00","103.00",".00"
"2014-05-12","96.50","104.00",".00"
"2014-05-13","96.75","104.00",".00"
"2014-05-14","97.25","104.00",".00"
"2014-05-15","97.00","104.00",".00"
"2014-05-16","94.75","104.00",".00"
"2014-05-19","94.00","103.00",".00"
"2014-05-20","94.75","103.00",".00"
"2014-05-21","94.25","103.00",".00"
"2014-05-22","93.25","103.00",".00"
"2014-05-23","93.75","103.00",".00"
"2014-05-26","94.25","104.00",".00"
"2014-05-27","94.00","104.00",".00"
"2014-05-28","95.00","104.00",".00"
"2014-05-29","95.00","104.00",".00"
"2014-05-30","94.75","104.00",".00"
"2014-06-02","95.50","106.00",".00"
"2014-06-03","95.50","106.00",".00"
"2014-06-04","95.50","106.00",".00"
"2014-06-05","94.25","106.00",".00"
"2014-06-06","94.25","106.00",".00"
"2014-06-09","96.50","106.00",".00"
"2014-06-10","96.00","106.00",".00"
"2014-06-11","94.75","106.00",".00"
"2014-06-12","94.50","106.00",".00"
"2014-06-13","93.75","106.00",".00"
"2014-06-16","94.75","105.00",".00"
"2014-06-17","94.50","105.00",".00"
"2014-06-18","94.50","105.00",".00"
"2014-06-19","95.50","105.00",".00"
"2014-06-20","95.50","105.00",".00"
"2014-06-23","94.75","103.00",".00"
"2014-06-24","94.50","103.00",".00"
"2014-06-25","93.50","103.00",".00"
"2014-06-26","92.75","103.00",".00"
"2014-06-27","94.25","103.00",".00"
"2014-06-30","94.25","104.00",".00"
"2014-07-01","94.75","104.00",".00"
"2014-07-02","96.25","104.00",".00"
"2014-07-03","98.00","104.00",".00"
"2014-07-04","100.75","104.00",".00"
"2014-07-07","100.75","107.00",".00"
"2014-07-08","101.00","107.00",".00"
"2014-07-09","98.00","107.00",".00"
"2014-07-10","97.00","107.00",".00"
"2014-07-11","95.75","107.00",".00"
"2014-07-14","97.00","105.00",".00"
"2014-07-15","96.75","105.00",".00"
"2014-07-16","98.00","105.00",".00"
"2014-07-17","97.50","105.00",".00"
"2014-07-18","97.00","105.00",".00"
"2014-07-21","98.00","105.00",".00"
"2014-07-22","97.75","105.00",".00"
"2014-07-23","96.00","105.00",".00"
"2014-07-24","96.75","105.00",".00"
"2014-07-25","97.50","105.00",".00"
"2014-07-28","97.50","106.00",".00"
"2014-07-29","98.00","106.00",".00"
"2014-07-30","98.00","106.00",".00"
"2014-07-31","96.50","106.00",".00"
