"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","95.50","112.00",".00"
"2014-03-04","97.00","112.00",".00"
"2014-03-05","98.75","112.00",".00"
"2014-03-06","99.25","112.00",".00"
"2014-03-07","98.50","112.00",".00"
"2014-03-10","97.50","112.00",".00"
"2014-03-11","98.00","112.00",".00"
"2014-03-12","98.00","112.00",".00"
"2014-03-13","98.00","112.00",".00"
"2014-03-14","98.00","112.00",".00"
"2014-03-17","100.00","112.00",".00"
"2014-03-18","100.00","112.00",".00"
"2014-03-19","97.50","112.00",".00"
"2014-03-20","99.00","112.00",".00"
"2014-03-21","99.50","112.00",".00"
"2014-03-24","106.00","112.00",".00"
"2014-03-25","102.00","112.00",".00"
"2014-03-26","105.50","112.00",".00"
"2014-03-27","103.25","112.00",".00"
"2014-03-28","104.75","112.00",".00"
"2014-03-31","109.50","112.00",".00"
"2014-04-01","106.00","112.00",".00"
"2014-04-02","105.50","112.00",".00"
"2014-04-03","106.00","112.00",".00"
"2014-04-04","105.75","112.00",".00"
"2014-04-07","102.50","112.00",".00"
"2014-04-08","103.50","112.00",".00"
"2014-04-09","106.00","112.00",".00"
"2014-04-10","107.00","112.00",".00"
"2014-04-11","104.00","112.00",".00"
"2014-04-14","103.75","112.00",".00"
"2014-04-15","102.75","112.00",".00"
"2014-04-16","102.75","112.00",".00"
"2014-04-17","104.25","112.00",".00"
"2014-04-18","104.25","112.00",".00"
"2014-04-21","104.25","112.00",".00"
"2014-04-22","105.75","112.00",".00"
"2014-04-23","111.00","112.00",".00"
"2014-04-24","107.25","112.00",".00"
"2014-04-25","106.50","112.00",".00"
"2014-04-28","106.50","112.00",".00"
"2014-04-29","108.00","112.00",".00"
"2014-04-30","108.00","112.00",".00"
"2014-05-01","108.00","112.00",".00"
"2014-05-02","103.00","112.00",".00"
"2014-05-05","106.00","132.00",".00"
"2014-05-06","106.25","132.00",".00"
"2014-05-07","107.00","132.00",".00"
"2014-05-08","108.25","132.00",".00"
"2014-05-09","110.00","132.00",".00"
"2014-05-12","113.50","132.00",".00"
"2014-05-13","112.00","132.00",".00"
"2014-05-14","112.00","132.00",".00"
"2014-05-15","115.00","132.00",".00"
"2014-05-16","115.00","132.00",".00"
"2014-05-19","115.00","132.00",".00"
"2014-05-20","114.50","132.00",".00"
"2014-05-21","111.00","132.00",".00"
"2014-05-22","110.50","132.00",".00"
"2014-05-23","111.25","132.00",".00"
"2014-05-26","114.75","132.00",".00"
"2014-05-27","116.00","132.00",".00"
"2014-05-28","114.75","132.00",".00"
"2014-05-29","114.75","132.00",".00"
"2014-05-30","113.00","132.00",".00"
"2014-06-02","112.25","132.00",".00"
"2014-06-03","111.00","132.00",".00"
"2014-06-04","110.00","132.00",".00"
