"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","290.90","345.00",".00"
"2014-03-04","295.90","345.00",".00"
"2014-03-05","294.80","345.00",".00"
"2014-03-06","298.40","345.00",".00"
"2014-03-07","297.30","345.00",".00"
"2014-03-10","295.80","345.00",".00"
"2014-03-11","297.40","345.00",".00"
"2014-03-12","294.60","345.00",".00"
"2014-03-13","292.80","345.00",".00"
"2014-03-14","291.90","345.00",".00"
"2014-03-17","298.10","345.00",".00"
"2014-03-18","300.20","345.00",".00"
"2014-03-19","302.90","345.00",".00"
"2014-03-20","297.60","345.00",".00"
"2014-03-21","300.40","345.00",".00"
"2014-03-24","296.00","345.00",".00"
"2014-03-25","298.00","345.00",".00"
"2014-03-26","299.40","345.00",".00"
"2014-03-27","299.80","345.00",".00"
"2014-03-28","299.60","345.00",".00"
"2014-03-31","306.10","345.00",".00"
"2014-04-01","307.50","345.00",".00"
"2014-04-02","308.70","345.00",".00"
"2014-04-03","307.50","345.00",".00"
"2014-04-04","308.00","345.00",".00"
"2014-04-07","304.20","345.00",".00"
"2014-04-08","303.50","345.00",".00"
"2014-04-09","307.60","345.00",".00"
"2014-04-10","299.90","345.00",".00"
"2014-04-11","295.90","345.00",".00"
"2014-04-14","292.00","345.00",".00"
"2014-04-15","292.00","345.00",".00"
"2014-04-16","293.90","345.00",".00"
"2014-04-17","297.20","345.00",".00"
"2014-04-18","297.20","345.00",".00"
"2014-04-21","297.20","345.00",".00"
"2014-04-22","306.50","345.00",".00"
"2014-04-23","302.10","345.00",".00"
"2014-04-24","306.50","345.00",".00"
"2014-04-25","307.10","345.00",".00"
"2014-04-28","305.40","345.00",".00"
"2014-04-29","303.80","345.00",".00"
"2014-04-30","303.50","345.00",".00"
"2014-05-01","303.50","345.00",".00"
"2014-05-02","305.80","345.00",".00"
"2014-05-05","306.20","345.00",".00"
"2014-05-06","307.30","345.00",".00"
"2014-05-07","307.20","345.00",".00"
"2014-05-08","312.40","345.00",".00"
"2014-05-09","314.80","345.00",".00"
"2014-05-12","318.00","345.00",".00"
"2014-05-13","317.60","345.00",".00"
"2014-05-14","318.00","345.00",".00"
"2014-05-15","323.00","345.00",".00"
"2014-05-16","319.20","345.00",".00"
"2014-05-19","321.10","345.00",".00"
"2014-05-20","323.40","345.00",".00"
"2014-05-21","323.50","345.00",".00"
"2014-05-22","325.40","345.00",".00"
"2014-05-23","327.10","345.00",".00"
"2014-05-26","331.10","345.00",".00"
"2014-05-27","329.10","365.00",".00"
"2014-05-28","329.80","365.00",".00"
"2014-05-29","329.80","365.00",".00"
"2014-05-30","330.10","365.00",".00"
"2014-06-02","329.70","365.00",".00"
"2014-06-03","323.90","365.00",".00"
"2014-06-04","318.30","365.00",".00"
"2014-06-05","320.10","365.00",".00"
"2014-06-06","320.10","365.00",".00"
"2014-06-09","328.20","365.00",".00"
"2014-06-10","327.00","365.00",".00"
"2014-06-11","326.70","365.00",".00"
"2014-06-12","326.90","365.00",".00"
"2014-06-13","317.10","365.00",".00"
"2014-06-16","318.40","365.00",".00"
"2014-06-17","318.60","365.00",".00"
"2014-06-18","320.20","365.00",".00"
"2014-06-19","322.80","365.00",".00"
"2014-06-20","322.80","365.00",".00"
"2014-06-23","323.50","365.00",".00"
"2014-06-24","323.20","365.00",".00"
"2014-06-25","321.80","365.00",".00"
"2014-06-26","320.50","365.00",".00"
"2014-06-27","321.80","365.00",".00"
"2014-06-30","322.20","365.00",".00"
"2014-07-01","322.30","365.00",".00"
"2014-07-02","326.90","365.00",".00"
"2014-07-03","336.20","365.00",".00"
"2014-07-04","333.90","365.00",".00"
"2014-07-07","327.70","365.00",".00"
"2014-07-08","323.40","365.00",".00"
"2014-07-09","320.60","365.00",".00"
"2014-07-10","318.80","365.00",".00"
"2014-07-11","316.00","365.00",".00"
"2014-07-14","323.30","365.00",".00"
"2014-07-15","319.40","365.00",".00"
"2014-07-16","320.20","365.00",".00"
"2014-07-17","317.80","365.00",".00"
"2014-07-18","315.00","365.00",".00"
