"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","27.60","33.47",".00"
"2014-03-04","27.60","33.47",".00"
"2014-03-05","27.50","33.47",".00"
"2014-03-06","27.60","33.47",".00"
"2014-03-07","27.50","33.47",".00"
"2014-03-10","27.70","33.47",".00"
"2014-03-11","27.60","33.47",".00"
"2014-03-12","27.40","33.47",".00"
"2014-03-13","27.40","33.47",".00"
"2014-03-14","27.40","33.47",".00"
"2014-03-17","27.40","33.47",".00"
"2014-03-18","27.40","33.47",".00"
"2014-03-19","28.00","33.47",".00"
"2014-03-20","27.60","33.47",".00"
"2014-03-21","28.00","33.47",".00"
"2014-03-24","27.80","33.47",".00"
"2014-03-25","27.80","33.47",".00"
"2014-03-26","27.60","33.47",".00"
"2014-03-27","27.70","33.47",".00"
"2014-03-28","27.20","33.47",".00"
"2014-03-31","27.50","33.47",".00"
"2014-04-01","27.60","33.47",".00"
"2014-04-02","27.80","33.47",".00"
"2014-04-03","28.00","33.47",".00"
"2014-04-04","28.00","33.47",".00"
"2014-04-07","27.70","33.47",".00"
"2014-04-08","27.90","33.47",".00"
"2014-04-09","28.10","33.47",".00"
"2014-04-10","28.00","33.47",".00"
"2014-04-11","27.70","33.47",".00"
"2014-04-14","27.60","33.47",".00"
"2014-04-15","27.20","33.47",".00"
"2014-04-16","27.50","33.47",".00"
"2014-04-17","27.60","33.47",".00"
"2014-04-18","27.60","33.47",".00"
"2014-04-21","27.60","33.47",".00"
"2014-04-22","28.00","33.47",".00"
"2014-04-23","28.30","33.47",".00"
"2014-04-24","28.80","33.47",".00"
"2014-04-25","28.20","36.83",".00"
"2014-04-28","28.40","36.83",".00"
"2014-04-29","28.50","36.83",".00"
"2014-04-30","28.70","36.83",".00"
"2014-05-01","28.70","36.83",".00"
"2014-05-02","28.80","36.83",".00"
"2014-05-05","29.30","36.83",".00"
"2014-05-06","29.10","36.83",".00"
"2014-05-07","29.40","36.83",".00"
"2014-05-08","29.80","36.83",".00"
"2014-05-09","29.70","36.83",".00"
"2014-05-12","29.80","36.83",".00"
"2014-05-13","29.80","36.83",".00"
"2014-05-14","29.70","36.83",".00"
"2014-05-15","29.80","36.83",".00"
"2014-05-16","30.00","36.83",".00"
"2014-05-19","30.50","36.83",".00"
"2014-05-20","31.00","36.83",".00"
"2014-05-21","30.90","36.83",".00"
"2014-05-22","30.90","36.83",".00"
"2014-05-23","30.90","36.83",".00"
"2014-05-26","30.80","36.83",".00"
"2014-05-27","30.90","36.83",".00"
"2014-05-28","30.80","36.83",".00"
"2014-05-29","30.80","36.83",".00"
"2014-05-30","30.80","36.83",".00"
"2014-06-02","30.40","36.83",".00"
"2014-06-03","30.00","36.83",".00"
"2014-06-04","30.90","36.83",".00"
"2014-06-05","31.10","36.83",".00"
"2014-06-06","31.10","36.83",".00"
"2014-06-09","31.40","36.83",".00"
"2014-06-10","31.50","36.83",".00"
"2014-06-11","31.40","36.83",".00"
"2014-06-12","31.40","36.83",".00"
"2014-06-13","30.70","36.83",".00"
"2014-06-16","29.80","36.83",".00"
"2014-06-17","29.50","36.83",".00"
"2014-06-18","29.30","36.83",".00"
"2014-06-19","29.70","36.83",".00"
"2014-06-20","29.70","36.83",".00"
"2014-06-23","30.20","36.83",".00"
"2014-06-24","29.80","36.83",".00"
"2014-06-25","30.00","36.83",".00"
"2014-06-26","29.90","36.83",".00"
"2014-06-27","29.70","36.83",".00"
"2014-06-30","30.00","36.83",".00"
"2014-07-01","29.90","36.83",".00"
"2014-07-02","30.40","36.83",".00"
"2014-07-03","31.00","36.83",".00"
"2014-07-04","30.80","36.83",".00"
