"DATUM","PRIS","SUBSTANSVÄRDE","BERÄKNAT_SUBSTANSVÄRDE"
"2014-03-03","20.70","25.01",".00"
"2014-03-04","21.10","25.01",".00"
"2014-03-05","21.00","25.01",".00"
"2014-03-06","20.50","25.01",".00"
"2014-03-07","21.00","25.01",".00"
"2014-03-10","20.20","25.01",".00"
"2014-03-11","20.60","25.01",".00"
"2014-03-12","20.50","25.01",".00"
"2014-03-13","20.30","25.01",".00"
"2014-03-14","20.80","25.01",".00"
"2014-03-17","21.10","25.01",".00"
"2014-03-18","21.00","25.35",".00"
"2014-03-19","21.00","25.35",".00"
"2014-03-20","21.00","25.35",".00"
"2014-03-21","21.00","25.35",".00"
"2014-03-24","20.70","25.35",".00"
"2014-03-25","21.00","25.35",".00"
"2014-03-26","21.00","25.35",".00"
"2014-03-27","21.00","25.35",".00"
"2014-03-28","21.00","25.35",".00"
"2014-03-31","20.90","25.35",".00"
"2014-04-01","21.50","25.35",".00"
"2014-04-02","21.30","25.35",".00"
"2014-04-03","21.60","25.35",".00"
"2014-04-04","21.60","25.35",".00"
"2014-04-07","21.50","25.35",".00"
"2014-04-08","21.90","25.35",".00"
"2014-04-09","21.90","25.35",".00"
"2014-04-10","20.00","25.35",".00"
"2014-04-11","20.00","24.94",".00"
"2014-04-14","20.00","24.94",".00"
"2014-04-15","20.00","24.94",".00"
"2014-04-16","20.10","24.94",".00"
"2014-04-17","20.10","24.94",".00"
"2014-04-18","20.10","24.94",".00"
"2014-04-21","20.10","24.94",".00"
"2014-04-22","20.20","24.94",".00"
"2014-04-23","19.20","24.94",".00"
"2014-04-24","19.40","24.94",".00"
"2014-04-25","19.00","24.94",".00"
"2014-04-28","19.00","24.94",".00"
"2014-04-29","19.50","24.94",".00"
"2014-04-30","18.80","24.94",".00"
"2014-05-01","18.80","24.94",".00"
"2014-05-02","19.30","24.94",".00"
"2014-05-05","19.30","24.94",".00"
"2014-05-06","19.20","24.94",".00"
"2014-05-07","19.10","24.94",".00"
"2014-05-08","19.10","24.94",".00"
"2014-05-09","19.00","24.94",".00"
"2014-05-12","19.00","24.94",".00"
"2014-05-13","18.70","24.94",".00"
"2014-05-14","19.00","23.19",".00"
"2014-05-15","19.00","23.19",".00"
"2014-05-16","19.00","23.19",".00"
"2014-05-19","19.10","23.19",".00"
"2014-05-20","19.30","23.19",".00"
"2014-05-21","18.90","23.19",".00"
"2014-05-22","19.20","23.19",".00"
"2014-05-23","19.40","23.19",".00"
"2014-05-26","19.00","23.19",".00"
"2014-05-27","19.70","23.19",".00"
"2014-05-28","19.50","23.19",".00"
"2014-05-29","19.50","23.19",".00"
"2014-05-30","19.40","23.19",".00"
"2014-06-02","19.30","23.19",".00"
"2014-06-03","19.30","23.19",".00"
"2014-06-04","19.10","23.19",".00"
"2014-06-05","19.60","23.19",".00"
"2014-06-06","19.60","23.19",".00"
"2014-06-09","19.30","23.19",".00"
"2014-06-10","19.40","23.19",".00"
"2014-06-11","19.40","23.19",".00"
"2014-06-12","19.00","23.19",".00"
"2014-06-13","19.00","23.41",".00"
"2014-06-16","19.00","23.41",".00"
"2014-06-17","18.80","23.41",".00"
"2014-06-18","18.80","23.41",".00"
"2014-06-19","19.20","23.41",".00"
"2014-06-20","19.20","23.41",".00"
"2014-06-23","19.20","23.41",".00"
"2014-06-24","19.50","23.41",".00"
"2014-06-25","19.50","23.41",".00"
"2014-06-26","19.20","23.41",".00"
"2014-06-27","19.20","23.41",".00"
"2014-06-30","19.20","23.41",".00"
"2014-07-01","19.20","23.41",".00"
"2014-07-02","19.50","23.41",".00"
"2014-07-03","19.40","23.41",".00"
"2014-07-04","19.40","23.41",".00"
"2014-07-07","19.60","23.41",".00"
"2014-07-08","19.50","23.41",".00"
"2014-07-09","19.50","23.41",".00"
"2014-07-10","19.20","23.41",".00"
"2014-07-11","20.00","23.55",".00"
"2014-07-14","20.00","23.55",".00"
"2014-07-15","20.00","23.55",".00"
"2014-07-16","20.20","23.55",".00"
"2014-07-17","20.50","23.55",".00"
"2014-07-18","20.00","23.55",".00"
"2014-07-21","20.20","23.55",".00"
"2014-07-22","20.20","23.55",".00"
"2014-07-23","20.00","23.55",".00"
"2014-07-24","20.40","23.55",".00"
"2014-07-25","19.90","23.55",".00"
"2014-07-28","20.30","23.55",".00"
"2014-07-29","20.30","23.55",".00"
"2014-07-30","20.00","23.55",".00"
"2014-07-31","19.90","23.55",".00"
"2014-08-01","20.20","23.55",".00"
"2014-08-04","20.00","23.55",".00"
"2014-08-05","20.30","23.55",".00"
"2014-08-06","19.80","23.55",".00"
"2014-08-07","19.80","23.55",".00"
"2014-08-08","19.80","23.55",".00"
"2014-08-11","19.70","23.55",".00"
"2014-08-12","20.20","23.55",".00"
"2014-08-13","20.00","23.44",".00"
"2014-08-14","19.70","23.44",".00"
"2014-08-15","19.50","23.44",".00"
"2014-08-18","19.50","23.44",".00"
"2014-08-19","19.90","23.44",".00"
"2014-08-20","19.80","23.44",".00"
"2014-08-21","19.50","23.44",".00"
"2014-08-22","19.70","23.44",".00"
"2014-08-25","19.80","23.44",".00"
"2014-08-26","20.20","23.44",".00"
"2014-08-27","20.10","23.44",".00"
"2014-08-28","20.10","23.44",".00"
"2014-08-29","19.60","23.44",".00"
"2014-09-01","20.00","23.44",".00"
"2014-09-02","19.50","23.44",".00"
"2014-09-03","20.20","23.44",".00"
"2014-09-04","20.00","23.44",".00"
"2014-09-05","19.70","23.44",".00"
"2014-09-08","20.30","23.44",".00"
"2014-09-09","20.30","23.44",".00"
"2014-09-10","19.90","23.44",".00"
"2014-09-11","19.70","23.44",".00"
"2014-09-12","20.10","23.62",".00"
"2014-09-15","19.20","23.62",".00"
"2014-09-16","19.40","23.62",".00"
"2014-09-17","19.50","23.62",".00"
"2014-09-18","19.90","23.62",".00"
"2014-09-19","19.50","23.62",".00"
"2014-09-22","20.90","23.62",".00"
"2014-09-23","19.90","23.62",".00"
"2014-09-24","20.00","23.62",".00"
"2014-09-25","19.70","23.62",".00"
"2014-09-26","19.50","23.62",".00"
"2014-09-29","20.10","23.62",".00"
"2014-09-30","20.10","23.62",".00"
"2014-10-01","20.10","23.62",".00"
"2014-10-02","20.70","23.62",".00"
"2014-10-03","20.30","23.62",".00"
"2014-10-06","20.50","23.62",".00"
"2014-10-07","20.00","23.62",".00"
"2014-10-08","20.00","23.62",".00"
